"taxon"	"lfc_stageHealthy.x"	"lfc_stageIntermediate.x"	"lfc_stageAdvanced.x"	"se_stageHealthy.x"	"se_stageIntermediate.x"	"se_stageAdvanced.x"	"W_stageHealthy.x"	"W_stageIntermediate.x"	"W_stageAdvanced.x"	"p_stageHealthy.x"	"p_stageIntermediate.x"	"p_stageAdvanced.x"	"q_stageHealthy.x"	"q_stageIntermediate.x"	"q_stageAdvanced.x"	"diff_stageHealthy.x"	"diff_stageIntermediate.x"	"diff_stageAdvanced.x"	"passed_ss_stageHealthy.x"	"passed_ss_stageIntermediate.x"	"passed_ss_stageAdvanced.x"	"group"	"lfc"	"lfc_stageHealthy.y"	"lfc_stageIntermediate.y"	"lfc_stageAdvanced.y"	"se_stageHealthy.y"	"se_stageIntermediate.y"	"se_stageAdvanced.y"	"W_stageHealthy.y"	"W_stageIntermediate.y"	"W_stageAdvanced.y"	"p_stageHealthy.y"	"p_stageIntermediate.y"	"p_stageAdvanced.y"	"q_stageHealthy.y"	"q_stageIntermediate.y"	"q_stageAdvanced.y"	"diff_stageHealthy.y"	"diff_stageIntermediate.y"	"diff_stageAdvanced.y"	"passed_ss_stageHealthy.y"	"passed_ss_stageIntermediate.y"	"passed_ss_stageAdvanced.y"	"color"
"Fusobacterium"	-0.496206025057964	-0.47749018572763	-0.443115488442073	0.398111038957772	0.170593745358353	0.358134395235435	-1.24640107030691	-2.79898999066233	-1.23728827595789	0.212895712418812	0.0052203270244915	0.21625723439734	0.479015352942328	0.0169660628295974	0.479015352942328	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	"Healthy - Early"	0	-0.496206025057964	-0.47749018572763	-0.443115488442073	0.398111038957772	0.170593745358353	0.358134395235435	-1.24640107030691	-2.79898999066233	-1.23728827595789	0.212895712418812	0.0052203270244915	0.21625723439734	0.479015352942328	0.0169660628295974	0.479015352942328	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	"black"
"Fusobacterium"	-0.496206025057964	-0.47749018572763	-0.443115488442073	0.398111038957772	0.170593745358353	0.358134395235435	-1.24640107030691	-2.79898999066233	-1.23728827595789	0.212895712418812	0.0052203270244915	0.21625723439734	0.479015352942328	0.0169660628295974	0.479015352942328	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	"Intermediate - Early"	-0.48	-0.496206025057964	-0.47749018572763	-0.443115488442073	0.398111038957772	0.170593745358353	0.358134395235435	-1.24640107030691	-2.79898999066233	-1.23728827595789	0.212895712418812	0.0052203270244915	0.21625723439734	0.479015352942328	0.0169660628295974	0.479015352942328	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	"black"
"Fusobacterium"	-0.496206025057964	-0.47749018572763	-0.443115488442073	0.398111038957772	0.170593745358353	0.358134395235435	-1.24640107030691	-2.79898999066233	-1.23728827595789	0.212895712418812	0.0052203270244915	0.21625723439734	0.479015352942328	0.0169660628295974	0.479015352942328	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	"Advanced - Early"	0	-0.496206025057964	-0.47749018572763	-0.443115488442073	0.398111038957772	0.170593745358353	0.358134395235435	-1.24640107030691	-2.79898999066233	-1.23728827595789	0.212895712418812	0.0052203270244915	0.21625723439734	0.479015352942328	0.0169660628295974	0.479015352942328	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	"black"
"Gemella"	1.05696855338417	-0.565327512159972	-0.218200921843694	0.363163558615531	0.147939662944173	0.307138428225662	2.91044772612537	-3.82133838153537	-0.710431850238475	0.0037005454821784	0.000142107521056487	0.477625464285775	0.00832622733490139	0.000461849443433584	0.597031830357219	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	"Healthy - Early"	1.06	1.05696855338417	-0.565327512159972	-0.218200921843694	0.363163558615531	0.147939662944173	0.307138428225662	2.91044772612537	-3.82133838153537	-0.710431850238475	0.0037005454821784	0.000142107521056487	0.477625464285775	0.00832622733490139	0.000461849443433584	0.597031830357219	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	"black"
"Gemella"	1.05696855338417	-0.565327512159972	-0.218200921843694	0.363163558615531	0.147939662944173	0.307138428225662	2.91044772612537	-3.82133838153537	-0.710431850238475	0.0037005454821784	0.000142107521056487	0.477625464285775	0.00832622733490139	0.000461849443433584	0.597031830357219	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	"Intermediate - Early"	-0.57	1.05696855338417	-0.565327512159972	-0.218200921843694	0.363163558615531	0.147939662944173	0.307138428225662	2.91044772612537	-3.82133838153537	-0.710431850238475	0.0037005454821784	0.000142107521056487	0.477625464285775	0.00832622733490139	0.000461849443433584	0.597031830357219	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	"black"
"Gemella"	1.05696855338417	-0.565327512159972	-0.218200921843694	0.363163558615531	0.147939662944173	0.307138428225662	2.91044772612537	-3.82133838153537	-0.710431850238475	0.0037005454821784	0.000142107521056487	0.477625464285775	0.00832622733490139	0.000461849443433584	0.597031830357219	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	"Advanced - Early"	0	1.05696855338417	-0.565327512159972	-0.218200921843694	0.363163558615531	0.147939662944173	0.307138428225662	2.91044772612537	-3.82133838153537	-0.710431850238475	0.0037005454821784	0.000142107521056487	0.477625464285775	0.00832622733490139	0.000461849443433584	0.597031830357219	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	"black"
"Prevotella"	0.777697711195871	-0.504160805867258	-0.0978707764245646	0.352653688121368	0.165573260163566	0.34563724615814	2.20527315434802	-3.0449409848499	-0.283160387118076	0.0276408464389315	0.00238251500919483	0.777107074543519	0.0621919044875958	0.00774317377988319	0.971383843179399	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"Healthy - Early"	0	0.777697711195871	-0.504160805867258	-0.0978707764245646	0.352653688121368	0.165573260163566	0.34563724615814	2.20527315434802	-3.0449409848499	-0.283160387118076	0.0276408464389315	0.00238251500919483	0.777107074543519	0.0621919044875958	0.00774317377988319	0.971383843179399	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"black"
"Prevotella"	0.777697711195871	-0.504160805867258	-0.0978707764245646	0.352653688121368	0.165573260163566	0.34563724615814	2.20527315434802	-3.0449409848499	-0.283160387118076	0.0276408464389315	0.00238251500919483	0.777107074543519	0.0621919044875958	0.00774317377988319	0.971383843179399	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"Intermediate - Early"	-0.5	0.777697711195871	-0.504160805867258	-0.0978707764245646	0.352653688121368	0.165573260163566	0.34563724615814	2.20527315434802	-3.0449409848499	-0.283160387118076	0.0276408464389315	0.00238251500919483	0.777107074543519	0.0621919044875958	0.00774317377988319	0.971383843179399	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"black"
"Prevotella"	0.777697711195871	-0.504160805867258	-0.0978707764245646	0.352653688121368	0.165573260163566	0.34563724615814	2.20527315434802	-3.0449409848499	-0.283160387118076	0.0276408464389315	0.00238251500919483	0.777107074543519	0.0621919044875958	0.00774317377988319	0.971383843179399	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"Advanced - Early"	0	0.777697711195871	-0.504160805867258	-0.0978707764245646	0.352653688121368	0.165573260163566	0.34563724615814	2.20527315434802	-3.0449409848499	-0.283160387118076	0.0276408464389315	0.00238251500919483	0.777107074543519	0.0621919044875958	0.00774317377988319	0.971383843179399	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	"black"
"Pseudomonas"	-3.5979975987415	1.92259114604335	3.94486937491534	0.344716445892529	0.225046170686373	0.517807414438514	-10.4375571331553	8.54309646851396	7.61841036825047	1.64521028420099e-23	1.12714117188185e-16	1.03459330070971e-13	5.34693342365323e-23	2.53606763673415e-16	1.29324162588713e-13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Healthy - Early"	-3.6	-3.5979975987415	1.92259114604335	3.94486937491534	0.344716445892529	0.225046170686373	0.517807414438514	-10.4375571331553	8.54309646851396	7.61841036825047	1.64521028420099e-23	1.12714117188185e-16	1.03459330070971e-13	5.34693342365323e-23	2.53606763673415e-16	1.29324162588713e-13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Pseudomonas"	-3.5979975987415	1.92259114604335	3.94486937491534	0.344716445892529	0.225046170686373	0.517807414438514	-10.4375571331553	8.54309646851396	7.61841036825047	1.64521028420099e-23	1.12714117188185e-16	1.03459330070971e-13	5.34693342365323e-23	2.53606763673415e-16	1.29324162588713e-13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Intermediate - Early"	1.92	-3.5979975987415	1.92259114604335	3.94486937491534	0.344716445892529	0.225046170686373	0.517807414438514	-10.4375571331553	8.54309646851396	7.61841036825047	1.64521028420099e-23	1.12714117188185e-16	1.03459330070971e-13	5.34693342365323e-23	2.53606763673415e-16	1.29324162588713e-13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Pseudomonas"	-3.5979975987415	1.92259114604335	3.94486937491534	0.344716445892529	0.225046170686373	0.517807414438514	-10.4375571331553	8.54309646851396	7.61841036825047	1.64521028420099e-23	1.12714117188185e-16	1.03459330070971e-13	5.34693342365323e-23	2.53606763673415e-16	1.29324162588713e-13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Advanced - Early"	3.94	-3.5979975987415	1.92259114604335	3.94486937491534	0.344716445892529	0.225046170686373	0.517807414438514	-10.4375571331553	8.54309646851396	7.61841036825047	1.64521028420099e-23	1.12714117188185e-16	1.03459330070971e-13	5.34693342365323e-23	2.53606763673415e-16	1.29324162588713e-13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Staphylococcus"	-3.98732664834376	1.41395671545254	1.20789945491298	0.366689034017573	0.228414004715087	0.477363567929876	-10.8738638967662	6.19032408812342	2.53035534351968	4.86591003099239e-25	1.18890797579039e-09	0.0116777302057985	1.58142076007253e-24	2.67504294552837e-09	0.0145971627572482	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Healthy - Early"	-3.99	-3.98732664834376	1.41395671545254	1.20789945491298	0.366689034017573	0.228414004715087	0.477363567929876	-10.8738638967662	6.19032408812342	2.53035534351968	4.86591003099239e-25	1.18890797579039e-09	0.0116777302057985	1.58142076007253e-24	2.67504294552837e-09	0.0145971627572482	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Staphylococcus"	-3.98732664834376	1.41395671545254	1.20789945491298	0.366689034017573	0.228414004715087	0.477363567929876	-10.8738638967662	6.19032408812342	2.53035534351968	4.86591003099239e-25	1.18890797579039e-09	0.0116777302057985	1.58142076007253e-24	2.67504294552837e-09	0.0145971627572482	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Intermediate - Early"	1.41	-3.98732664834376	1.41395671545254	1.20789945491298	0.366689034017573	0.228414004715087	0.477363567929876	-10.8738638967662	6.19032408812342	2.53035534351968	4.86591003099239e-25	1.18890797579039e-09	0.0116777302057985	1.58142076007253e-24	2.67504294552837e-09	0.0145971627572482	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Staphylococcus"	-3.98732664834376	1.41395671545254	1.20789945491298	0.366689034017573	0.228414004715087	0.477363567929876	-10.8738638967662	6.19032408812342	2.53035534351968	4.86591003099239e-25	1.18890797579039e-09	0.0116777302057985	1.58142076007253e-24	2.67504294552837e-09	0.0145971627572482	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Advanced - Early"	1.21	-3.98732664834376	1.41395671545254	1.20789945491298	0.366689034017573	0.228414004715087	0.477363567929876	-10.8738638967662	6.19032408812342	2.53035534351968	4.86591003099239e-25	1.18890797579039e-09	0.0116777302057985	1.58142076007253e-24	2.67504294552837e-09	0.0145971627572482	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Stenotrophomonas"	-2.86747363794135	1.59677666661912	3.25324292091832	0.342457326656466	0.171782708327157	0.458820539279584	-8.37322905582873	9.29532827936378	7.09044744602409	7.75680665103832e-14	4.49645005541043e-16	7.65405207988515e-11	1.74528149648362e-13	1.46134626800839e-15	9.56756509985644e-11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Healthy - Early"	-2.87	-2.86747363794135	1.59677666661912	3.25324292091832	0.342457326656466	0.171782708327157	0.458820539279584	-8.37322905582873	9.29532827936378	7.09044744602409	7.75680665103832e-14	4.49645005541043e-16	7.65405207988515e-11	1.74528149648362e-13	1.46134626800839e-15	9.56756509985644e-11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Stenotrophomonas"	-2.86747363794135	1.59677666661912	3.25324292091832	0.342457326656466	0.171782708327157	0.458820539279584	-8.37322905582873	9.29532827936378	7.09044744602409	7.75680665103832e-14	4.49645005541043e-16	7.65405207988515e-11	1.74528149648362e-13	1.46134626800839e-15	9.56756509985644e-11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Intermediate - Early"	1.6	-2.86747363794135	1.59677666661912	3.25324292091832	0.342457326656466	0.171782708327157	0.458820539279584	-8.37322905582873	9.29532827936378	7.09044744602409	7.75680665103832e-14	4.49645005541043e-16	7.65405207988515e-11	1.74528149648362e-13	1.46134626800839e-15	9.56756509985644e-11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Stenotrophomonas"	-2.86747363794135	1.59677666661912	3.25324292091832	0.342457326656466	0.171782708327157	0.458820539279584	-8.37322905582873	9.29532827936378	7.09044744602409	7.75680665103832e-14	4.49645005541043e-16	7.65405207988515e-11	1.74528149648362e-13	1.46134626800839e-15	9.56756509985644e-11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"Advanced - Early"	3.25	-2.86747363794135	1.59677666661912	3.25324292091832	0.342457326656466	0.171782708327157	0.458820539279584	-8.37322905582873	9.29532827936378	7.09044744602409	7.75680665103832e-14	4.49645005541043e-16	7.65405207988515e-11	1.74528149648362e-13	1.46134626800839e-15	9.56756509985644e-11	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	"black"
"Streptococcus"	2.290630499724	0.0288737519640238	0.0827081708301605	0.368535745035953	0.179349921595727	0.296781571412559	6.2154907104073	0.160991160225362	0.278683647493689	7.19732862867876e-10	0.872129293128227	0.780538874635936	2.3391318043206e-09	1	1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	"Healthy - Early"	2.29	2.290630499724	0.0288737519640238	0.0827081708301605	0.368535745035953	0.179349921595727	0.296781571412559	6.2154907104073	0.160991160225362	0.278683647493689	7.19732862867876e-10	0.872129293128227	0.780538874635936	2.3391318043206e-09	1	1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	"black"
"Streptococcus"	2.290630499724	0.0288737519640238	0.0827081708301605	0.368535745035953	0.179349921595727	0.296781571412559	6.2154907104073	0.160991160225362	0.278683647493689	7.19732862867876e-10	0.872129293128227	0.780538874635936	2.3391318043206e-09	1	1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	"Intermediate - Early"	0	2.290630499724	0.0288737519640238	0.0827081708301605	0.368535745035953	0.179349921595727	0.296781571412559	6.2154907104073	0.160991160225362	0.278683647493689	7.19732862867876e-10	0.872129293128227	0.780538874635936	2.3391318043206e-09	1	1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	"black"
"Streptococcus"	2.290630499724	0.0288737519640238	0.0827081708301605	0.368535745035953	0.179349921595727	0.296781571412559	6.2154907104073	0.160991160225362	0.278683647493689	7.19732862867876e-10	0.872129293128227	0.780538874635936	2.3391318043206e-09	1	1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	"Advanced - Early"	0	2.290630499724	0.0288737519640238	0.0827081708301605	0.368535745035953	0.179349921595727	0.296781571412559	6.2154907104073	0.160991160225362	0.278683647493689	7.19732862867876e-10	0.872129293128227	0.780538874635936	2.3391318043206e-09	1	1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	"black"
"Veillonella"	1.4980884784762	-0.632981135806136	-0.29219873180692	0.358245273030611	0.159241868021186	0.350393051360487	4.18173969415696	-3.97496678274287	-0.833917027385065	3.11639047665862e-05	7.48514171191174e-05	0.404503827634032	0.000101282690491405	0.000168415688518014	0.50562978454254	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	"Healthy - Early"	1.5	1.4980884784762	-0.632981135806136	-0.29219873180692	0.358245273030611	0.159241868021186	0.350393051360487	4.18173969415696	-3.97496678274287	-0.833917027385065	3.11639047665862e-05	7.48514171191174e-05	0.404503827634032	0.000101282690491405	0.000168415688518014	0.50562978454254	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	"black"
"Veillonella"	1.4980884784762	-0.632981135806136	-0.29219873180692	0.358245273030611	0.159241868021186	0.350393051360487	4.18173969415696	-3.97496678274287	-0.833917027385065	3.11639047665862e-05	7.48514171191174e-05	0.404503827634032	0.000101282690491405	0.000168415688518014	0.50562978454254	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	"Intermediate - Early"	-0.63	1.4980884784762	-0.632981135806136	-0.29219873180692	0.358245273030611	0.159241868021186	0.350393051360487	4.18173969415696	-3.97496678274287	-0.833917027385065	3.11639047665862e-05	7.48514171191174e-05	0.404503827634032	0.000101282690491405	0.000168415688518014	0.50562978454254	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	"black"
"Veillonella"	1.4980884784762	-0.632981135806136	-0.29219873180692	0.358245273030611	0.159241868021186	0.350393051360487	4.18173969415696	-3.97496678274287	-0.833917027385065	3.11639047665862e-05	7.48514171191174e-05	0.404503827634032	0.000101282690491405	0.000168415688518014	0.50562978454254	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	"Advanced - Early"	0	1.4980884784762	-0.632981135806136	-0.29219873180692	0.358245273030611	0.159241868021186	0.350393051360487	4.18173969415696	-3.97496678274287	-0.833917027385065	3.11639047665862e-05	7.48514171191174e-05	0.404503827634032	0.000101282690491405	0.000168415688518014	0.50562978454254	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	"black"
